,State Name,Year,GROSS STATE VALUE ADDED BY ECONOMIC ACTIVITY-AGRICULTURE(Current Prices),GROSS STATE VALUE ADDED BY ECONOMIC ACTIVITY-AGRICULTURE(Constant Prices),GROSS STATE DOMESTIC PRODUCT (Current Prices),GROSS STATE DOMESTIC PRODUCT (Constant Prices),GROSS STATE VALUE ADDED BY ECONOMIC ACTIVITY-AGRICULTURE(Average Prices),GROSS STATE DOMESTIC PRODUCT (Average Prices),Rainfall(mm),Total Area (1000 ha),Total Production (1000 tons),Total Yield (Kg per ha)
0,Andhra Pradesh,2008,5349301,3749978,23738349,18182940,4549639.5,20960644.5,7335.8,11461.9,25651.76,38477.63999999999
1,Assam,2008,1752517,1252426,8107367,6403256,1502471.5,7255311.5,16785.7,5180.4400000000005,7625.56,11438.34
2,Bihar,2008,3665967,2598292,14227912,10741179,3132129.5,12484545.5,8489.3,7487.92,12892.72,19339.079999999998
3,Chhattisgarh,2008,1314267,835891,9697218,6898211,1075079.0,8297714.5,7098.1,11059.26,11817.62,17726.430000000004
4,Gujarat,2008,5108800,3392000,36791200,30034100,4250400.0,33412650.0,14367.9,20851.24,26998.74,40498.11
5,Haryana,2008,4013723,2521178,18252215,13647794,3267450.5,15950004.5,3597.9,6805.480000000001,22305.18,33457.770000000004
6,Himachal Pradesh,2008,607806,516057,4148310,3321011,561931.5,3734660.5,8678.6,1507.86,2258.78,3388.17
7,Jharkhand,2008,1242345,1019766,8779393,7012946,1131055.5,7896169.5,5067.9,1614.94,2822.3,4233.45
8,Karnataka,2008,4061267,3276766,31031233,24442138,3669016.5,27736685.5,8840.7,18611.72,23509.1,35263.65
9,Kerala,2008,2492744,1653394,20278279,16265920,2073069.0,18272099.5,19162.1,2415.2999999999997,1013.2399999999999,1519.86
10,Madhya Pradesh,2008,4400691,3289794,19727620,15294616,3845242.5,17511118.0,29617.6,48185.08,55245.3,82867.95
11,Maharashtra,2008,5919787,4154867,75396915,61019135,5037327.0,68208025.0,25222.9,49208.7,50170.48,75255.72
12,Punjab,2008,5243076,3311353,17403913,13043076,4277214.5,15223494.5,7099.8,8922.64,35556.8,53335.2
13,Rajasthan,2008,4773855,3226172,23094932,17455575,4000013.5,20275253.5,12014.9,40740.23999999999,45333.32,67999.98
14,Uttar Pradesh,2008,11789780,7915167,44468486,34472559,9852473.5,39470522.5,41146.8,44734.72,110642.08,165963.12
15,Uttarakhand,2008,595515,394487,5602476,4283246,495001.0,4942861.0,5127.8,954.44,2470.3,3705.45
16,West Bengal,2008,6036140,4215545,34194248,27024826,5125842.5,30609537.0,22974.1,10015.18,23654.719999999998,35482.08
17,Andhra Pradesh,2009,1466,1800,2661,9396,1633.0,6028.5,5137.1,10481.519999999999,22078.2,33117.3
18,Assam,2009,7696,3637,7457,9387,5666.5,8422.0,14067.5,5268.459999999999,8304.179999999998,12456.269999999999
19,Bihar,2009,7540,8711,2294,5758,8125.5,4026.0,6111.5,7812.219999999999,11892.32,17838.48
20,Chhattisgarh,2009,9514,6819,6426,4262,8166.5,5344.0,5231.299999999999,10857.259999999998,11220.42,16830.629999999997
21,Gujarat,2009,700,4400,6200,2700,2550.0,4450.0,10638.4,19411.300000000003,23225.86,34838.79
22,Haryana,2009,4567,7116,25,7447,5841.5,3736.0,2537.6,6720.48,22451.5,33677.25
23,Himachal Pradesh,2009,4221,2462,8859,9722,3341.5,9290.5,6214.1,1368.54,1766.88,2650.3200000000006
24,Jharkhand,2009,9165,5089,2068,4004,7127.0,3036.0,4208.599999999999,1308.84,1136.0800000000002,1704.1200000000001
25,Karnataka,2009,9203,6340,5850,9029,7771.5,7439.5,9894.7,18723.559999999998,23982.18,35973.27
26,Kerala,2009,4835,3666,9867,7135,4250.5,8501.0,21706.3,2371.2,1050.48,1575.72
27,Madhya Pradesh,2009,467,8490,5664,6406,4478.5,6035.0,29327.3,50140.74,61553.42,92330.13
28,Maharashtra,2009,7883,8650,5051,4446,8266.5,4748.5,25012.0,51066.62,54939.74,82409.61
29,Punjab,2009,201,2459,9981,3647,1330.0,6814.0,4250.4,8828.84,35626.36,53439.53999999999
30,Rajasthan,2009,1357,6314,2485,4454,3835.5,3469.5,8929.6,39065.54,34543.060000000005,51814.590000000004
31,Uttar Pradesh,2009,7556,286,9418,1677,3921.0,5547.5,26247.6,45158.86,106872.44,160308.66
32,Uttarakhand,2009,4128,7373,3005,9803,5750.5,6404.0,3478.7,956.56,2538.4799999999996,3807.7199999999993
33,West Bengal,2009,4138,5890,8038,5496,5014.0,6767.0,20100.2,9581.52,23317.4,34976.1
34,Andhra Pradesh,2010,7395672,3887040,31986394,20827348,5641356.0,26406871.0,10703.0,11450.04,24027.699999999997,36041.55
35,Assam,2010,2455091,1378848,11268796,7344442,1916969.5,9306619.0,18789.8,4248.2,7309.079999999998,10963.619999999999
36,Bihar,2010,4741478,2636490,20355499,13017089,3688984.0,16686294.0,7604.8,7159.12,12616.779999999999,18925.17
37,Chhattisgarh,2010,2019040,1166805,11941976,7890295,1592922.5,9916135.5,6440.900000000001,11034.960000000001,15548.939999999999,23323.409999999996
38,Gujarat,2010,9401448,4209796,52151888,36758128,6805622.0,44455008.0,17222.0,22547.04,37071.18,55606.770000000004
39,Haryana,2010,5165501,2609154,26062128,16377020,3887327.5,21219574.0,3871.4,6682.42,22603.66,33905.49
40,Himachal Pradesh,2010,819492,545306,5745226,3905441,682399.0,4825333.5,10279.5,1476.54,2448.88,3673.3200000000006
41,Jharkhand,2010,1467068,972177,12728105,8949114,1219622.5,10838609.5,2924.5,1154.02,1005.5400000000002,1508.3100000000002
42,Karnataka,2010,6244015,3957253,41070316,27272131,5100634.0,34171223.5,10606.7,18244.499999999996,31184.1,46776.15
43,Kerala,2010,3401238,1486915,26377330,18985071,2444076.5,22681200.5,24155.5,2308.92,916.96,1375.44
44,Madhya Pradesh,2010,5919124,3604573,26339573,17814354,4761848.5,22076963.5,29435.6,51466.0,63141.72,94712.58
45,Maharashtra,2010,10713458,5401564,104915008,74204180,8057511.0,89559594.0,33651.299999999996,53287.2,72652.86,108979.29000000001
46,Punjab,2010,6328862,3343822,22620407,14767012,4836342.0,18693709.5,4921.599999999999,8778.14,36260.02,54390.03
47,Rajasthan,2010,8109082,4423913,33834843,21307929,6266497.5,27571386.0,15890.5,46509.74,61849.82,92774.73
48,Telangana,2010,4694940,2332014,26389774,17418546,3513477.0,21904160.0,10411.2,10160.18,20083.6,30125.399999999998
49,Uttar Pradesh,2010,15203248,8234413,60028572,39630943,11718830.5,49829757.5,33518.5,45710.38,113616.9,170425.34999999998
50,Uttarakhand,2010,858178,468168,8396911,5566681,663173.0,6981796.0,6907.200000000001,888.04,2531.18,3796.77
51,West Bengal,2010,8625434,4470212,46095894,30883705,6547823.0,38489799.5,20233.8,9328.4,20799.46,31199.189999999995
52,Andhra Pradesh,2011,7927319,3904992,36224493,22128548,5916155.5,29176520.5,5734.6,10535.6,23276.08,34914.12
53,Assam,2011,2536624,1393846,12590307,7684368,1965235.0,10137337.5,12216.2,3943.2,6681.74,10022.61
54,Bihar,2011,5798081,2993110,24326902,14356008,4395595.5,19341455.0,8937.7,7591.1,19459.639999999996,29189.459999999995
55,Chhattisgarh,2011,2247005,1202919,14438220,8340937,1724962.0,11389578.5,7727.9,10753.259999999998,14816.8,22225.199999999997
56,Gujarat,2011,11094668,4481060,59878552,39205778,7787864.0,49542165.0,13859.7,23354.199999999997,36257.04,54385.56
57,Haryana,2011,5907442,2819950,29868833,17691697,4363696.0,23780265.0,2365.7000000000003,6688.84,25894.800000000003,38842.2
58,Himachal Pradesh,2011,881551,506400,6495745,4190822,693975.5,5343283.5,8830.099999999999,1359.3400000000001,2231.5000000000005,3347.25
59,Jharkhand,2011,1928793,1282061,13561793,9350951,1605427.0,11456372.0,4933.8,1400.64,2660.479999999999,3990.7199999999984
60,Karnataka,2011,6198503,3631701,45521235,28278400,4915102.0,36899817.5,7728.3,16993.04,32187.280000000002,48280.92
61,Kerala,2011,4037910,1570119,31267716,20095773,2804014.5,25681744.5,23197.2,2462.58,967.8800000000001,1451.8200000000002
62,Madhya Pradesh,2011,7132014,4136480,30515816,19335031,5634247.0,24925423.5,38555.4,52663.76,70412.36,105618.54
63,Maharashtra,2011,10835776,5163326,117012126,77560965,7999551.0,97286545.5,28563.0,49536.94,65433.96,98150.94
64,Punjab,2011,7019317,3402467,25637378,15730291,5210892.0,20683834.5,5336.9,8675.36,37782.5,56673.75
65,Rajasthan,2011,10618310,4368803,41417889,23085925,7493556.5,32251907.0,17603.3,43141.259999999995,58422.32,87633.48
66,Telangana,2011,5235523,2297670,30562242,18926867,3766596.5,24744554.5,6282.0,9614.16,17009.78,25514.67
67,Uttar Pradesh,2011,18025758,8726191,68549644,41840413,13375974.5,55195028.5,33908.3,45168.78,121075.12,181612.68
68,Uttarakhand,2011,1035774,485529,9785772,6087959,760651.5,7936865.5,5912.599999999999,859.2599999999999,2590.74,3886.1099999999997
69,West Bengal,2011,9446215,4479178,52831575,32341698,6962696.5,42586636.5,23204.5,10290.34,23671.76,35507.64
70,Andhra Pradesh,2012,9562978,4133498,41006812,23023999,6848238.0,32015405.5,8480.5,10619.2,23221.5,34832.25
71,Assam,2012,2670510,1418045,13840087,8079864,2044277.5,10959975.5,15308.3,5595.999999999999,9616.26,14424.39
72,Bihar,2012,7140334,3251849,29361593,15890893,5196091.5,22626243.0,6730.0,7929.82,20493.8,30740.699999999997
73,Chhattisgarh,2012,2765427,1388458,16564120,9073664,2076942.5,12818892.0,7577.6,11312.58,18710.96,28066.44
74,Gujarat,2012,10150280,3994542,65854041,41616347,7072411.0,53735194.0,9300.1,19243.72,26327.46,39491.189999999995
75,Haryana,2012,6427406,2797350,34135116,18664283,4612378.0,26399699.5,1879.2,6618.9,23481.08,35221.62
76,Himachal Pradesh,2012,1062492,560233,7371003,4447976,811362.5,5909489.5,8757.2,1417.46,2634.44,3951.66
77,Jharkhand,2012,2205030,1375029,15165470,10046081,1790029.5,12605775.5,4311.599999999999,1596.5,2995.5,4493.25
78,Karnataka,2012,7084784,3749106,52267274,29999067,5416945.0,41133170.5,6306.4,16267.919999999998,23490.420000000002,35235.630000000005
79,Kerala,2012,4028847,1593167,34784078,21285953,2811007.0,28035015.5,16750.7,2362.3,871.56,1307.34
80,Madhya Pradesh,2012,9523032,4942961,36127033,21017437,7232996.5,28572235.0,35529.2,37402.62,69105.28,103657.92
81,Maharashtra,2012,11369055,5128222,132222235,83592859,8248638.5,107907547.0,24430.6,48981.84,59604.299999999996,89406.45
82,Punjab,2012,7642451,3413534,28511933,16460224,5527992.5,22486078.5,3981.8,8716.580000000002,37511.56,56267.34
83,Rajasthan,2012,11739986,4351106,47017838,24566578,8045546.0,35792208.0,14021.9,40897.68,56362.8,84544.2
84,Telangana,2012,6450179,2579036,34708203,19705584,4514607.5,27206893.5,7989.4,9753.24,18911.059999999998,28366.589999999997
85,Uttar Pradesh,2012,20988346,9147772,78039860,44258972,15068059.0,61149416.0,29584.9,44213.82,120398.42,180597.63
86,Uttarakhand,2012,1222128,534377,10824979,6541424,878252.5,8683201.5,4922.0,855.14,2553.36,3830.04
87,West Bengal,2012,11088402,4642724,60331053,34777383,7865563.0,47554218.0,20254.100000000002,10512.82,25101.28,37651.92
88,Andhra Pradesh,2013,10711198,4376550,46418355,24672373,7543874.0,35545364.0,7586.400000000001,10701.72,25722.28,38583.42
89,Assam,2013,3148299,1479852,15946032,8686172,2314075.5,12316102.0,13914.4,5634.299999999999,9796.48,14694.72
90,Bihar,2013,7253667,3016624,34366279,17340933,5135145.5,25853606.0,6743.9,7711.780000000001,18162.899999999998,27244.35
91,Chhattisgarh,2013,3015072,1392064,18568248,9526245,2203568.0,14047246.5,7925.900000000001,11300.6,17065.42,25598.129999999997
92,Gujarat,2013,14214101,5284307,76563781,45262526,9749204.0,60913153.5,17591.3,21902.960000000003,43181.5,64772.25
93,Haryana,2013,7400608,2884831,38891663,19965683,5142719.5,29428673.0,2788.9,6649.879999999999,24061.84,36092.76
94,Himachal Pradesh,2013,1198210,659451,8258534,4725476,928830.5,6492005.0,10692.1,1488.08,1877.3000000000002,2815.9500000000003
95,Jharkhand,2013,2554588,1501690,17277261,10940841,2028139.0,14109051.0,4377.4,1702.56,3318.1600000000008,4977.240000000001
96,Karnataka,2013,8771625,4122807,61460704,32145528,6447216.0,46803116.0,8047.4,16443.52,28112.72,42169.08
97,Kerala,2013,4309647,1547330,39628246,22620850,2928488.5,31124548.0,24975.3,2427.36,1127.14,1690.71
98,Madhya Pradesh,2013,13521893,6035688,43472988,23009540,9778790.5,33241264.0,49879.3,57099.18,73608.76,110413.14
99,Maharashtra,2013,13383943,5544115,151013214,89676749,9464029.0,120344981.5,29095.3,52916.8,70708.16,106062.24
100,Punjab,2013,8341539,3520186,31755647,17403765,5930862.5,24579706.0,5445.2,8721.18,38392.5,57588.75
101,Rajasthan,2013,13026034,4589323,51761454,25743195,8807678.5,38752324.5,16632.7,44717.94,55972.659999999996,83958.99
102,Telangana,2013,7463823,2798417,39175126,20642724,5131120.0,29908925.0,10550.1,10818.36,23209.96,34814.94
103,Uttar Pradesh,2013,22241872,9250534,86274591,46451036,15746203.0,66362813.5,41278.0,45224.22,122085.22,183127.83
104,Uttarakhand,2013,1257075,499101,12289724,7092553,878088.0,9691138.5,6763.7,843.0599999999998,2487.9799999999996,3731.9699999999993
105,West Bengal,2013,13262435,4709277,70656124,37179504,8985856.0,53917814.0,20248.4,9955.78,24753.96,37130.94
106,Andhra Pradesh,2014,7889822,6098300,52497564,44456428,6994061.0,48476996.0,5304.7,10132.16,25799.66,38699.49
107,Assam,2014,2942082,2442685,19572315,16521230,2692383.5,18046772.5,14912.199999999999,5647.16,9912.66,14868.99
108,Bihar,2014,4622152,3525385,34295094,27948244,4073768.5,31121669.0,6810.2,8011.399999999998,17559.7,26339.550000000003
109,Chhattisgarh,2014,2571796,2045885,22111811,18581344,2308840.5,20346577.5,7505.5,11354.16,18753.38,28130.07
110,Gujarat,2014,9664066,8421258,92177315,81142764,9042662.0,86660039.5,11450.6,18934.62,29436.36,44154.54
111,Haryana,2014,4612943,3597425,43714471,37053451,4105184.0,40383961.0,1975.7,6597.44,20972.739999999998,31459.11
112,Himachal Pradesh,2014,817058,790045,10377232,8906019,803551.5,9641625.5,8651.4,1414.58,2441.4199999999996,3662.1299999999997
113,Jharkhand,2014,2078016,1507393,21852517,18653439,1792704.5,20252978.0,4049.1,1486.6200000000001,3104.98,4657.469999999999
114,Karnataka,2014,7862007,5651754,91392303,74842911,6756880.5,83117607.0,8771.6,16265.96,27842.18,41763.270000000004
115,Kerala,2014,3048091,2474420,51256405,41995555,2761255.5,46625980.0,23062.0,2408.78,1147.48,1721.22
116,Madhya Pradesh,2014,13094566,9332505,47993904,38394448,11213535.5,43194176.0,29261.1,54237.2,85380.0,128070.0
117,Maharashtra,2014,11514122,9883332,177913793,154316487,10698727.0,166115140.0,21444.0,50875.4,51870.16,77805.24
118,Punjab,2014,5715593,4824441,35510182,31212533,5270017.0,33361357.5,3779.3,8667.54,34529.479999999996,51794.219999999994
119,Rajasthan,2014,7760668,7828218,61564156,52150893,7794443.0,56857524.5,13478.6,40450.92,51789.64,77684.46
120,Telangana,2014,4170637,2954636,50584879,41633207,3562636.5,46109043.0,5463.5,8931.74,16516.3,24774.45
121,Uttar Pradesh,2014,15633361,12055193,101178966,83443238,13844277.0,92311102.0,24886.6,41241.380000000005,98323.23999999999,147484.86
122,Uttarakhand,2014,862131,715033,16143892,14127764,788582.0,15135828.0,4770.4,829.1999999999999,2259.14,3388.71
123,West Bengal,2014,10171379,7914584,71808166,57436434,9042981.5,64622300.0,18721.5,10730.980000000001,26712.859999999997,40069.28999999999
124,Andhra Pradesh,2015,8406995,5845963,60422862,49860626,7126479.0,55141744.0,6652.9,9553.32,22433.899999999998,33650.85
125,Assam,2015,3210429,2559454,22795883,19110900,2884941.5,20953391.5,14732.9,5630.0599999999995,9774.119999999999,14661.179999999998
126,Bihar,2015,4898747,3532967,37160179,29648818,4215857.0,33404498.5,5502.9,7679.379999999999,16526.66,24789.989999999998
127,Chhattisgarh,2015,2615412,1978955,22516299,19058377,2297183.5,20787338.0,6707.3,11186.900000000001,12611.579999999998,18917.37
128,Gujarat,2015,9393472,7789790,102900974,89446534,8591631.0,96173754.0,10464.7,18637.66,27738.800000000003,41608.200000000004
129,Haryana,2015,4681637,3656573,49550411,41340479,4169105.0,45445445.0,2535.4,6531.84,21714.38,32571.57
130,Himachal Pradesh,2015,964071,881118,11423941,9627406,922594.5,10525673.5,9595.4,1376.98,2695.46,4043.1899999999996
131,Jharkhand,2015,1671596,1133574,20661280,17488115,1402585.0,19074697.5,3673.5,1937.3200000000002,1985.8,2978.7
132,Karnataka,2015,7973840,4827055,104516810,83132991,6400447.5,93824900.5,8549.7,16103.36,21513.18,32269.769999999997
133,Kerala,2015,2617784,2278769,56199361,45121002,2448276.5,50660181.5,20510.3,2411.6400000000003,1007.68,1511.52
134,Madhya Pradesh,2015,13477296,8949745,54106751,41873574,11213520.5,47990162.5,34658.5,56769.24,80359.59999999999,120539.4
135,Maharashtra,2015,11480344,9142618,196622458,165428361,10311481.0,181025409.5,18351.6,50057.12,39562.64,59343.96
136,Punjab,2015,5936438,4794550,39008744,33005193,5365494.0,36006968.5,4988.8,8636.64,36718.98,55078.47
137,Rajasthan,2015,8205264,7315288,68148226,56333953,7760276.0,62241089.5,14937.800000000001,41854.76,49645.659999999996,74468.48999999999
138,Telangana,2015,3680495,2418653,57790206,46454244,3049574.0,52122225.0,6075.0,8207.04,12645.260000000002,18967.89
139,Uttar Pradesh,2015,17638489,12645300,113780794,90824133,15141894.5,102302463.5,25001.8,42314.82,108973.18,163459.77
140,Uttarakhand,2015,834909,652182,17716302,15269872,743545.5,16493087.0,4657.4,878.36,2581.6600000000008,3872.4900000000007
141,West Bengal,2015,11593411,7858815,79729980,60954467,9726113.0,70342223.5,22402.0,10017.08,25406.539999999997,38109.81
142,Andhra Pradesh,2016,9649845,6430367,68441587,54021177,8040106.0,61231382.0,6592.4,9610.740000000002,24727.88,37091.82
143,Assam,2016,3419844,2625728,25438236,20208084,3022786.0,22823160.0,15767.6,4275.54,7838.48,11757.72
144,Bihar,2016,5777188,3878079,42105150,31879745,4827633.5,36992447.5,7310.6,7987.179999999999,20672.100000000002,31008.15
145,Chhattisgarh,2016,3372989,2454184,26280175,21370478,2913586.5,23825326.5,8087.0,10593.38,20498.34,30747.51
146,Gujarat,2016,10970840,8369156,116715558,98134196,9669998.0,107424877.0,12288.8,15534.86,23762.359999999997,35643.54
147,Haryana,2016,5436459,4080548,56142417,45670911,4758503.5,50906664.0,2081.3,6549.0599999999995,25313.72,37970.58
148,Himachal Pradesh,2016,967466,775548,12563364,10305499,871507.0,11434431.5,7693.3,1372.4799999999998,1772.74,2659.11
149,Jharkhand,2016,2281657,1459455,23624972,19317392,1870556.0,21471182.0,4976.1,2515.8799999999997,5064.900000000001,7597.35
150,Karnataka,2016,8211588,4927233,120760772,94177405,6569410.5,107469088.5,6363.3,13408.98,18145.6,27218.399999999998
151,Kerala,2016,2917374,2319185,63488640,48530154,2618279.5,56009397.0,14245.8,275.6,669.0600000000001,1003.5900000000001
152,Madhya Pradesh,2016,18913732,11775864,64982281,47066916,15344798.0,56024598.5,41257.6,45711.72,92088.84,138133.26
153,Maharashtra,2016,15382358,11431358,219818515,180704575,13406858.0,200261545.0,30375.7,46836.479999999996,59877.82,89816.73
154,Punjab,2016,6633055,5119470,42698810,35272056,5876262.5,38985433.0,4063.6,8584.36,39360.020000000004,59040.030000000006
155,Rajasthan,2016,10156123,7594885,76058727,59674551,8875504.0,67866639.0,17025.0,36923.18,50939.2,76408.79999999999
156,Telangana,2016,4352911,2847772,65832534,50794610,3600341.5,58313572.0,9034.2,9280.039999999999,21360.039999999997,32040.059999999998
157,Uttar Pradesh,2016,19152008,13474756,128870023,101150027,16313382.0,115010025.0,32324.2,44610.54,133762.62,200643.93
158,Uttarakhand,2016,858452,692683,19512484,16770325,775567.5,18141404.5,4572.6,860.2,2619.98,3929.9700000000003
159,West Bengal,2016,12036882,8055480,87252723,65341593,10046181.0,76297158.0,21711.7,9578.08,24887.979999999996,37331.969999999994
160,Andhra Pradesh,2017,513177,411840,613542,473653,462508.5,543597.5,6720.6,9685.34,27935.899999999998,41903.85
161,Assam,2017,447408,663201,316489,991937,555304.5,654213.0,16788.1,5134.62,9570.119999999999,14355.179999999998
162,Bihar,2017,436838,171384,874631,402783,304111.0,638707.0,7198.9,7952.900000000001,20689.3,31033.949999999997
163,Chhattisgarh,2017,940525,994483,228344,13569,967504.0,120956.5,6714.6,10487.32,13709.78,20564.670000000002
164,Gujarat,2017,584816,365086,909477,656973,474951.0,783225.0,15323.1,15851.88,28552.98,42829.47
165,Haryana,2017,922033,206040,883208,203615,564036.5,543411.5,2434.5,6453.160000000002,24436.22,36654.33
166,Himachal Pradesh,2017,965837,714021,855109,940627,839929.0,897868.0,9540.0,1353.2,2686.4999999999995,4029.75
167,Jharkhand,2017,587638,564348,981614,58730,575993.0,520172.0,4402.1,3538.7999999999997,5914.699999999999,8872.05
168,Karnataka,2017,877750,386466,324000,970817,632108.0,647408.5,8491.0,11694.5,22048.32,33072.48
169,Kerala,2017,199378,354343,158826,618976,276860.5,388901.0,20636.8,302.32,828.42,1242.6299999999999
170,Madhya Pradesh,2017,671175,506489,628392,710165,588832.0,669278.5,26483.0,45691.18,89458.44,134187.66
171,Maharashtra,2017,123135,850708,278150,870619,486921.5,574384.5,28630.899999999998,47017.119999999995,58430.020000000004,87645.03
172,Punjab,2017,189096,295174,101361,540561,242135.0,320961.0,5022.5,8646.7,40832.94,61249.41
173,Rajasthan,2017,247157,261760,252923,802002,254458.5,527462.5,14242.7,35956.32,47993.02,71989.53
174,Telangana,2017,745699,139537,5028,740976,442618.0,373002.0,6842.7,9434.54,20469.999999999996,30704.999999999996
175,Uttar Pradesh,2017,579451,956558,992550,639893,768004.5,816221.5,26691.3,43206.159999999996,139450.82,209176.22999999998
176,Uttarakhand,2017,16543,698175,22213,95612,357359.0,58912.5,5573.2,855.02,2714.2,4071.2999999999993
177,West Bengal,2017,120198,470069,469978,498032,295133.5,484005.0,23529.6,9847.579999999998,25715.98,38573.97
